,country,year,value
0,Afghanistan,1970,14300.0
1,Albania,1970,6960.0
2,Algeria,1970,34600.0
3,Angola,1970,60600.0
4,Antigua and Barbuda,1970,0.0
5,Argentina,1970,222000.0
6,Armenia,1970,6250.0
7,Australia,1970,319000.0
8,Austria,1970,68400.0
9,Azerbaijan,1970,26300.0
10,Bahamas,1970,3560.0
11,Bahrain,1970,3810.0
12,Bangladesh,1970,113000.0
13,Barbados,1970,710.0
14,Belarus,1970,137000.0
15,Belgium,1970,160000.0
16,Belize,1970,313.0
17,Benin,1970,35200.0
18,Bhutan,1970,863.0
19,Bolivia,1970,173000.0
20,Bosnia and Herzegovina,1970,23300.0
21,Botswana,1970,11400.0
22,Brazil,1970,1260000.0
23,Brunei,1970,11500.0
24,Bulgaria,1970,88000.0
25,Burkina Faso,1970,7370.0
26,Burundi,1970,2200.0
27,Cambodia,1970,23800.0
28,Cameroon,1970,65700.0
29,Canada,1970,495000.0
30,Cape Verde,1970,193.0
31,Central African Republic,1970,106000.0
32,Chad,1970,14400.0
33,Chile,1970,42200.0
34,China,1970,1870000.0
35,Colombia,1970,128000.0
36,Comoros,1970,203.0
37,"Congo, Dem. Rep.",1970,1550000.0
38,"Congo, Rep.",1970,68600.0
39,Costa Rica,1970,5200.0
40,Cote d'Ivoire,1970,117000.0
41,Croatia,1970,25700.0
42,Cuba,1970,42400.0
43,Cyprus,1970,2760.0
44,Czech Republic,1970,213000.0
45,Denmark,1970,78800.0
46,Djibouti,1970,1050.0
47,Dominica,1970,51.0
48,Dominican Republic,1970,8870.0
49,Ecuador,1970,13700.0
50,Egypt,1970,56900.0
51,El Salvador,1970,4930.0
52,Equatorial Guinea,1970,120.0
53,Eritrea,1970,2920.0
54,Estonia,1970,64900.0
55,Eswatini,1970,1610.0
56,Ethiopia,1970,54400.0
57,Fiji,1970,1140.0
58,Finland,1970,59000.0
59,France,1970,615000.0
60,Gabon,1970,6240.0
61,Gambia,1970,806.0
62,Georgia,1970,49600.0
63,Germany,1970,1290000.0
64,Ghana,1970,21500.0
65,Greece,1970,38700.0
66,Grenada,1970,61.6
67,Guatemala,1970,8500.0
68,Guinea,1970,49100.0
69,Guinea-Bissau,1970,916.0
70,Guyana,1970,13400.0
71,Haiti,1970,4510.0
72,Honduras,1970,6770.0
73,Hungary,1970,87700.0
74,Iceland,1970,3110.0
75,India,1970,746000.0
76,Indonesia,1970,340000.0
77,Iran,1970,142000.0
78,Iraq,1970,51300.0
79,Ireland,1970,47200.0
80,Israel,1970,17300.0
81,Italy,1970,388000.0
82,Jamaica,1970,7210.0
83,Japan,1970,941000.0
84,Jordan,1970,2090.0
85,Kazakhstan,1970,186000.0
86,Kenya,1970,21900.0
87,Kiribati,1970,0.0
88,Kuwait,1970,68100.0
89,Kyrgyz Republic,1970,15200.0
90,Lao,1970,22800.0
91,Latvia,1970,45400.0
92,Lebanon,1970,6390.0
93,Lesotho,1970,1790.0
94,Liberia,1970,1690.0
95,Libya,1970,70800.0
96,Lithuania,1970,102000.0
97,Luxembourg,1970,19400.0
98,Madagascar,1970,45300.0
99,Malawi,1970,6200.0
100,Malaysia,1970,113000.0
101,Maldives,1970,21.4
102,Mali,1970,25100.0
103,Malta,1970,827.0
104,Marshall Islands,1970,2.47
105,Mauritania,1970,4920.0
106,Mauritius,1970,693.0
107,Mexico,1970,211000.0
108,"Micronesia, Fed. Sts.",1970,22.1
109,Moldova,1970,26300.0
110,Mongolia,1970,13000.0
111,Morocco,1970,19600.0
112,Mozambique,1970,45100.0
113,Myanmar,1970,656000.0
114,Namibia,1970,7250.0
115,Nepal,1970,19900.0
116,Netherlands,1970,184000.0
117,New Zealand,1970,49600.0
118,Nicaragua,1970,8310.0
119,Niger,1970,8020.0
120,Nigeria,1970,74900.0
121,North Korea,1970,94000.0
122,North Macedonia,1970,12100.0
123,Norway,1970,57100.0
124,Oman,1970,11300.0
125,Pakistan,1970,87100.0
126,Panama,1970,5710.0
127,Papua New Guinea,1970,6720.0
128,Paraguay,1970,52400.0
129,Peru,1970,55300.0
130,Philippines,1970,78200.0
131,Poland,1970,466000.0
132,Portugal,1970,26900.0
133,Qatar,1970,13100.0
134,Romania,1970,176000.0
135,Russia,1970,2240000.0
136,Rwanda,1970,2030.0
137,Samoa,1970,117.0
138,Sao Tome and Principe,1970,39.3
139,Saudi Arabia,1970,78200.0
140,Senegal,1970,8240.0
141,Seychelles,1970,139.0
142,Sierra Leone,1970,7410.0
143,Singapore,1970,0.0
144,Slovak Republic,1970,53500.0
145,Slovenia,1970,11100.0
146,Solomon Islands,1970,3570.0
147,Somalia,1970,13200.0
148,South Africa,1970,254000.0
149,South Korea,1970,88600.0
150,Spain,1970,173000.0
151,Sri Lanka,1970,16500.0
152,St. Kitts and Nevis,1970,64.8
153,St. Lucia,1970,140.0
154,St. Vincent and the Grenadines,1970,67.6
155,Sudan,1970,59400.0
156,Suriname,1970,10000.0
157,Sweden,1970,113000.0
158,Switzerland,1970,50100.0
159,Syria,1970,11200.0
160,Tajikistan,1970,7690.0
161,Tanzania,1970,98900.0
162,Thailand,1970,110000.0
163,Timor-Leste,1970,588.0
164,Togo,1970,9570.0
165,Tonga,1970,56.6
166,Trinidad and Tobago,1970,0.0
167,Tunisia,1970,8480.0
168,Turkey,1970,94400.0
169,Turkmenistan,1970,29900.0
170,Tuvalu,1970,2.27
171,Uganda,1970,14700.0
172,Ukraine,1970,561000.0
173,United Arab Emirates,1970,33000.0
174,United Kingdom,1970,840000.0
175,United States,1970,5400000.0
176,Uruguay,1970,25500.0
177,Uzbekistan,1970,82900.0
178,Vanuatu,1970,230.0
179,Venezuela,1970,137000.0
180,Vietnam,1970,79100.0
181,Yemen,1970,4840.0
182,Zambia,1970,234000.0
183,Zimbabwe,1970,24000.0
184,Afghanistan,1971,14400.0
185,Albania,1971,6950.0
186,Algeria,1971,38900.0
187,Angola,1971,39200.0
188,Antigua and Barbuda,1971,0.0
189,Argentina,1971,214000.0
190,Armenia,1971,6380.0
191,Australia,1971,314000.0
192,Austria,1971,71100.0
193,Azerbaijan,1971,26700.0
194,Bahamas,1971,0.0
195,Bahrain,1971,3950.0
196,Bangladesh,1971,108000.0
197,Barbados,1971,703.0
198,Belarus,1971,139000.0
199,Belgium,1971,154000.0
200,Belize,1971,324.0
201,Benin,1971,34500.0
202,Bhutan,1971,877.0
203,Bolivia,1971,122000.0
204,Bosnia and Herzegovina,1971,23600.0
205,Botswana,1971,6560.0
206,Brazil,1971,969000.0
207,Brunei,1971,8060.0
208,Bulgaria,1971,88200.0
209,Burkina Faso,1971,7340.0
210,Burundi,1971,2200.0
211,Cambodia,1971,18800.0
212,Cameroon,1971,64400.0
213,Canada,1971,512000.0
214,Cape Verde,1971,192.0
215,Central African Republic,1971,102000.0
216,Chad,1971,14200.0
217,Chile,1971,43500.0
218,China,1971,1910000.0
219,Colombia,1971,113000.0
220,Comoros,1971,205.0
221,"Congo, Dem. Rep.",1971,900000.0
222,"Congo, Rep.",1971,42400.0
223,Costa Rica,1971,5260.0
224,Cote d'Ivoire,1971,114000.0
225,Croatia,1971,25700.0
226,Cuba,1971,40800.0
227,Cyprus,1971,2790.0
228,Czech Republic,1971,213000.0
229,Denmark,1971,74900.0
230,Djibouti,1971,1060.0
231,Dominica,1971,52.9
232,Dominican Republic,1971,9420.0
233,Ecuador,1971,12600.0
234,Egypt,1971,56600.0
235,El Salvador,1971,4970.0
236,Equatorial Guinea,1971,122.0
237,Eritrea,1971,2930.0
238,Estonia,1971,65100.0
239,Eswatini,1971,1630.0
240,Ethiopia,1971,54400.0
241,Fiji,1971,1160.0
242,Finland,1971,58500.0
243,France,1971,630000.0
244,Gabon,1971,4700.0
245,Gambia,1971,818.0
246,Georgia,1971,49700.0
247,Germany,1971,1280000.0
248,Ghana,1971,21100.0
249,Greece,1971,43200.0
250,Grenada,1971,61.6
251,Guatemala,1971,9090.0
252,Guinea,1971,48000.0
253,Guinea-Bissau,1971,909.0
254,Guyana,1971,10700.0
255,Haiti,1971,4640.0
256,Honduras,1971,7400.0
257,Hungary,1971,90700.0
258,Iceland,1971,4120.0
259,India,1971,754000.0
260,Indonesia,1971,294000.0
261,Iran,1971,151000.0
262,Iraq,1971,57100.0
263,Ireland,1971,50200.0
264,Israel,1971,17400.0
265,Italy,1971,399000.0
266,Jamaica,1971,7220.0
267,Japan,1971,960000.0
268,Jordan,1971,2160.0
269,Kazakhstan,1971,183000.0
270,Kenya,1971,22400.0
271,Kiribati,1971,0.0
272,Kuwait,1971,71400.0
273,Kyrgyz Republic,1971,15400.0
274,Lao,1971,15400.0
275,Latvia,1971,45600.0
276,Lebanon,1971,6550.0
277,Lesotho,1971,1640.0
278,Liberia,1971,1710.0
279,Libya,1971,54200.0
280,Lithuania,1971,103000.0
281,Luxembourg,1971,18200.0
282,Madagascar,1971,31700.0
283,Malawi,1971,4130.0
284,Malaysia,1971,85000.0
285,Maldives,1971,21.8
286,Mali,1971,24900.0
287,Malta,1971,832.0
288,Marshall Islands,1971,2.54
289,Mauritania,1971,4810.0
290,Mauritius,1971,700.0
291,Mexico,1971,215000.0
292,"Micronesia, Fed. Sts.",1971,24.9
293,Moldova,1971,26500.0
294,Mongolia,1971,13400.0
295,Morocco,1971,19900.0
296,Mozambique,1971,26300.0
297,Myanmar,1971,424000.0
298,Namibia,1971,6120.0
299,Nepal,1971,20300.0
300,Netherlands,1971,187000.0
301,New Zealand,1971,48300.0
302,Nicaragua,1971,8080.0
303,Niger,1971,8160.0
304,Nigeria,1971,90500.0
305,North Korea,1971,93400.0
306,North Macedonia,1971,11400.0
307,Norway,1971,55500.0
308,Oman,1971,12000.0
309,Pakistan,1971,88300.0
310,Panama,1971,5880.0
311,Papua New Guinea,1971,5590.0
312,Paraguay,1971,37900.0
313,Peru,1971,49500.0
314,Philippines,1971,78600.0
315,Poland,1971,468000.0
316,Portugal,1971,28800.0
317,Qatar,1971,15600.0
318,Romania,1971,179000.0
319,Russia,1971,2240000.0
320,Rwanda,1971,2010.0
321,Samoa,1971,117.0
322,Sao Tome and Principe,1971,39.6
323,Saudi Arabia,1971,94000.0
324,Senegal,1971,8270.0
325,Seychelles,1971,140.0
326,Sierra Leone,1971,7350.0
327,Singapore,1971,0.0
328,Slovak Republic,1971,52000.0
329,Slovenia,1971,11300.0
330,Solomon Islands,1971,3560.0
331,Somalia,1971,13100.0
332,South Africa,1971,250000.0
333,South Korea,1971,89200.0
334,Spain,1971,184000.0
335,Sri Lanka,1971,16300.0
336,St. Kitts and Nevis,1971,63.5
337,St. Lucia,1971,140.0
338,St. Vincent and the Grenadines,1971,67.7
339,Sudan,1971,58800.0
340,Suriname,1971,7810.0
341,Sweden,1971,107000.0
342,Switzerland,1971,51300.0
343,Syria,1971,11200.0
344,Tajikistan,1971,7990.0
345,Tanzania,1971,60600.0
346,Thailand,1971,105000.0
347,Timor-Leste,1971,604.0
348,Togo,1971,9340.0
