country,year,carbon,carbon_person,coal,sulfur,greenhouse,geo,Alpha-2 code,Alpha-3 code,Numeric code,ISO 3166-2
Algeria,1970,15100,1.04,0.0057,21.8,34600,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1971,18700,1.26,0.00154,25.9,38900,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1972,28300,1.85,0.0013,22.4,53700,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1973,38300,2.44,0.00146,22.9,67600,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1974,31900,1.98,0.00117,21.5,59300,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1975,32000,1.93,0.00144,18,56000,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1976,39200,2.29,0.00273,16.7,68700,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1977,41900,2.38,0.00345,19.6,74900,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1978,62500,3.45,0.0017,31.3,82000,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1979,45600,2.44,0.00384,29.8,84400,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1980,66500,3.46,0.00331,76.8,83300,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1981,46400,2.34,0.00226,87.8,79900,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1982,39200,1.92,0.0406,99.4,83100,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1983,52500,2.49,0.0351,120,89100,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1984,71000,3.26,0.0377,155,92800,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1985,72700,3.24,0.0382,132,104000,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1986,76100,3.3,0.0381,105,108000,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1987,84000,3.53,0.0442,110,107000,DZA,DZ,DZA,12,ISO 3166-2:DZ
Algeria,1988,83800,3.43,0.0405,109,108000,DZA,DZ,DZA,12,ISO 3166-2:DZ
