country,year,total_population,total_electricity,electricity_from_Fossil_fuel,AdjustedIncomePerPerson
Algeria,1985,22400000,12300000000.0,11648100000.0,12100
Argentina,1985,30200000,45300000000.0,18754200000.0,12100
Australia,1985,15700000,124000000000.0,109368000000.0,26500
Austria,1985,7610000,44500000000.0,12059500000.0,27100
Azerbaijan,1985,6670000,20700000000.0,19209600000.0,10300
Bangladesh,1985,90800000,4530000000.0,3791610000.0000005,1220
Belarus,1985,9900000,33200000000.0,33166800000.000004,8120
Belgium,1985,9920000,57300000000.0,21430200000.0,26300
Brazil,1985,135000000,194000000000.0,8865800000.0,10300
Bulgaria,1985,8980000,41600000000.0,26249600000.0,10400
Canada,1985,25700000,460000000000.0,93380000000.0,29300
Chile,1985,12300000,14000000000.0,2772000000.0,7050
China,1985,1080000000,411000000000.0,318525000000.0,1510
Colombia,1985,30000000,29400000000.0,8996400000.0,6830
Czech Republic,1985,10300000,58100000000.0,54033000000.0,17900
Denmark,1985,5110000,29100000000.0,28983600000.0,31700
Ecuador,1985,9070000,4560000000.0,1281360000.0000002,7670
Egypt,1985,49300000,31700000000.0,22982500000.0,5910
Finland,1985,4910000,49400000000.0,18228600000.0,24700
France,1985,55300000,343000000000.0,55909000000.0,25900
Germany,1985,77700000,523000000000.0,361916000000.00006,29900
Greece,1985,9970000,27700000000.0,24902300000.0,19000
Hungary,1985,10600000,26800000000.0,20100000000.0,17200
India,1985,784000000,186000000000.0,130014000000.00002,1550
Indonesia,1985,165000000,16400000000.0,12660800000.0,3600
Iran,1985,47300000,39500000000.0,33891000000.0,13500
Ireland,1985,3510000,12100000000.0,11240900000.0,17400
Israel,1985,4040000,15400000000.0,15400000000.0,18300
Italy,1985,56900000,186000000000.0,133548000000.0,26800
Japan,1985,122000000,672000000000.0,414624000000.0,24800
Kazakhstan,1985,15700000,81300000000.0,74470800000.0,12700
Kuwait,1985,1740000,15400000000.0,15400000000.0,53400
Lithuania,1985,3560000,21000000000.0,8064000000.0,14700
Malaysia,1985,15600000,14900000000.0,11175000000.0,8410
Mexico,1985,76000000,94000000000.0,65799999999.99999,13400
Netherlands,1985,14500000,63000000000.0,58652999999.99999,28400
New Zealand,1985,3270000,28500000000.0,6669000000.0,23700
Norway,1985,4150000,103000000000.0,337839999.99999994,42200
Pakistan,1985,92200000,28800000000.0,13046399999.999998,2700
Peru,1985,19800000,12100000000.0,2553100000.0000005,6370
Philippines,1985,54300000,22800000000.0,11308800000.0,3610
Poland,1985,37100000,138000000000.0,135516000000.0,11300
Portugal,1985,9930000,18900000000.0,7597800000.0,15300
Qatar,1985,371000,3960000000.0,3960000000.0,76400
Romania,1985,23100000,71800000000.0,59091400000.0,12700
Russia,1985,143000000,962000000000.0,704184000000.0,20700
Saudi Arabia,1985,13100000,45300000000.0,45300000000.0,43000
Singapore,1985,2710000,9880000000.0,9880000000.0,24800
Slovak Republic,1985,5170000,22500000000.0,10710000000.0,13500
South Africa,1985,32700000,141000000000.0,135078000000.0,10200
South Korea,1985,40800000,62700000000.0,40629600000.0,7620
Spain,1985,38700000,138000000000.0,72174000000.0,18000
Sweden,1985,8360000,137000000000.0,5164900000.0,28300
Switzerland,1985,6440000,56500000000.0,576300000.0,44200
Thailand,1985,52000000,23000000000.0,19320000000.0,4360
Trinidad and Tobago,1985,1170000,3030000000.0,3011820000.0000005,12800
Turkey,1985,49100000,34200000000.0,22161600000.0,9120
Turkmenistan,1985,3240000,11000000000.0,10472000000.0,8710
Ukraine,1985,50900000,272000000000.0,193120000000.0,10700
