country,years,value
Afghanistan,1970,0
Albania,1970,0
Algeria,1970,0
Antigua and Barbuda,1970,0
Argentina,1970,0
Australia,1970,13
Austria,1970,0
Bahamas,1970,0
Bangladesh,1970,3950000
Barbados,1970,0
Belarus,1970,0
Belgium,1970,0
Belize,1970,0
Bhutan,1970,0
Bolivia,1970,0
Bosnia and Herzegovina,1970,0
Brazil,1970,0
Bulgaria,1970,0
Burundi,1970,0
Cambodia,1970,0
Canada,1970,10
Cape Verde,1970,0
Central African Republic,1970,0
Chad,1970,0
Chile,1970,0
China,1970,14100
Colombia,1970,0
Comoros,1970,0
"Congo, Dem. Rep.",1970,0
Costa Rica,1970,0
Croatia,1970,0
Cuba,1970,20
Cyprus,1970,0
Czech Republic,1970,0
Denmark,1970,0
Djibouti,1970,0
Dominica,1970,0
Dominican Republic,1970,0
Egypt,1970,0
El Salvador,1970,0
Eritrea,1970,0
Estonia,1970,0
Eswatini,1970,0
Fiji,1970,0
Finland,1970,0
France,1970,0
Gambia,1970,0
Georgia,1970,0
Germany,1970,0
Greece,1970,0
Grenada,1970,0
Guatemala,1970,0
Guinea,1970,0
Guinea-Bissau,1970,0
Haiti,1970,0
Honduras,1970,0
Hungary,1970,0
India,1970,2000
Indonesia,1970,0
Iran,1970,0
Ireland,1970,0
Israel,1970,0
Italy,1970,235
Jamaica,1970,0
Japan,1970,0
Jordan,1970,0
Kazakhstan,1970,0
Kenya,1970,0
Kiribati,1970,0
Kyrgyz Republic,1970,0
Lao,1970,0
Latvia,1970,0
Lebanon,1970,0
Lesotho,1970,0
Liberia,1970,0
Lithuania,1970,0
Luxembourg,1970,0
Madagascar,1970,10100
Malawi,1970,0
Malaysia,1970,0
Maldives,1970,0
Marshall Islands,1970,0
Mauritania,1970,0
Mauritius,1970,0
Mexico,1970,0
"Micronesia, Fed. Sts.",1970,0
Moldova,1970,0
Mongolia,1970,0
Morocco,1970,0
Mozambique,1970,0
Myanmar,1970,0
Nepal,1970,0
Netherlands,1970,0
New Zealand,1970,0
Nicaragua,1970,0
Niger,1970,0
Nigeria,1970,0
North Korea,1970,0
North Macedonia,1970,0
Norway,1970,0
Oman,1970,0
Pakistan,1970,0
Panama,1970,0
Papua New Guinea,1970,0
Paraguay,1970,0
Peru,1970,0
Philippines,1970,1820000
Poland,1970,0
Portugal,1970,0
Romania,1970,0
Russia,1970,0
Samoa,1970,0
Saudi Arabia,1970,0
Senegal,1970,0
Seychelles,1970,0
Sierra Leone,1970,0
Slovak Republic,1970,0
Slovenia,1970,0
Solomon Islands,1970,0
Somalia,1970,0
South Africa,1970,0
South Korea,1970,2540
